id,event,date,pattern_base
1,A,2024-01-24,ADD
1,D,2024-04-23,ADD
1,D,2024-07-22,ADD
2,A,2024-01-18,ADD
2,D,2024-04-17,ADD
2,D,2024-07-16,ADD
3,A,2024-01-15,ADD
3,D,2024-03-15,ADD
3,C,2024-05-14,ADD
3,D,2024-07-13,ADD
4,A,2024-01-13,ADD
4,A,2024-03-13,ADD
4,D,2024-05-12,ADD
4,D,2024-07-11,ADD
5,A,2024-01-28,ADD
5,D,2024-04-27,ADD
5,D,2024-07-26,ADD
6,A,2024-01-19,ADD
6,G,2024-03-19,ADD
6,D,2024-05-18,ADD
6,D,2024-07-17,ADD
7,A,2024-01-09,ADD
7,D,2024-04-08,ADD
7,D,2024-07-07,ADD
8,A,2024-01-30,ADD
8,D,2024-03-30,ADD
8,G,2024-05-29,ADD
8,D,2024-07-28,ADD
9,A,2024-01-06,ADD
9,D,2024-04-05,ADD
9,D,2024-07-04,ADD
10,A,2024-01-30,ADD
10,D,2024-04-29,ADD
10,D,2024-07-28,ADD
11,A,2024-01-28,ADD
11,D,2024-04-27,ADD
11,D,2024-07-26,ADD
12,A,2024-01-25,ADD
12,D,2024-04-24,ADD
12,D,2024-07-23,ADD
13,A,2024-01-30,ADD
13,D,2024-04-29,ADD
13,D,2024-07-28,ADD
14,A,2024-01-07,ADD
14,D,2024-04-06,ADD
14,D,2024-07-05,ADD
15,A,2024-01-14,ADD
15,D,2024-04-13,ADD
15,D,2024-07-12,ADD
16,A,2024-01-24,ADD
16,D,2024-04-23,ADD
16,D,2024-07-22,ADD
17,A,2024-01-18,ADD
17,D,2024-03-18,ADD
17,B,2024-05-17,ADD
17,D,2024-07-16,ADD
18,A,2024-01-01,ADD
18,D,2024-03-31,ADD
18,D,2024-06-29,ADD
19,A,2024-01-26,ADD
19,D,2024-04-25,ADD
19,D,2024-07-24,ADD
20,A,2024-01-12,ADD
20,G,2024-03-12,ADD
20,D,2024-05-11,ADD
20,D,2024-07-10,ADD
21,A,2024-01-16,ADD
21,D,2024-04-15,ADD
21,D,2024-07-14,ADD
22,A,2024-01-18,ADD
22,D,2024-03-18,ADD
22,C,2024-05-17,ADD
22,D,2024-07-16,ADD
23,A,2024-01-12,ADD
23,D,2024-04-11,ADD
23,D,2024-07-10,ADD
24,A,2024-01-04,ADD
24,D,2024-04-03,ADD
24,D,2024-07-02,ADD
25,A,2024-01-29,ADD
25,D,2024-04-28,ADD
25,D,2024-07-27,ADD
26,A,2024-01-30,ADD
26,D,2024-04-29,ADD
26,D,2024-07-28,ADD
27,A,2024-01-14,ADD
27,D,2024-04-13,ADD
27,D,2024-07-12,ADD
28,A,2024-01-05,ADD
28,D,2024-04-04,ADD
28,D,2024-07-03,ADD
29,A,2024-01-03,ADD
29,D,2024-04-02,ADD
29,D,2024-07-01,ADD
30,A,2024-01-28,ADD
30,B,2024-03-28,ADD
30,D,2024-05-27,ADD
30,D,2024-07-26,ADD
31,A,2024-01-30,ADD
31,E,2024-03-30,ADD
31,F,2024-05-29,ADD
31,D,2024-07-28,ADD
32,A,2024-01-14,ADD
32,D,2024-04-13,ADD
32,D,2024-07-12,ADD
33,A,2024-01-08,ADD
33,D,2024-04-07,ADD
33,D,2024-07-06,ADD
34,A,2024-01-07,ADD
34,D,2024-04-06,ADD
34,D,2024-07-05,ADD
35,A,2024-01-28,ADD
35,D,2024-04-27,ADD
35,D,2024-07-26,ADD
36,A,2024-01-16,ADD
36,D,2024-03-16,ADD
36,C,2024-05-15,ADD
36,D,2024-07-14,ADD
37,A,2024-01-31,ADD
37,D,2024-04-30,ADD
37,D,2024-07-29,ADD
38,A,2024-01-09,ADD
38,D,2024-04-08,ADD
38,D,2024-07-07,ADD
39,A,2024-01-23,ADD
39,D,2024-04-22,ADD
39,D,2024-07-21,ADD
40,A,2024-01-31,ADD
40,D,2024-04-30,ADD
40,D,2024-07-29,ADD
41,A,2024-01-11,ADD
41,D,2024-04-10,ADD
41,D,2024-07-09,ADD
42,A,2024-01-25,ADD
42,D,2024-04-24,ADD
42,D,2024-07-23,ADD
43,A,2024-01-23,ADD
43,D,2024-04-22,ADD
43,D,2024-07-21,ADD
44,A,2024-01-26,ADD
44,D,2024-04-25,ADD
44,D,2024-07-24,ADD
45,A,2024-01-24,ADD
45,D,2024-04-23,ADD
45,D,2024-07-22,ADD
46,A,2024-01-15,ADD
46,D,2024-04-14,ADD
46,D,2024-07-13,ADD
47,A,2024-01-10,ADD
47,D,2024-04-09,ADD
47,D,2024-07-08,ADD
48,A,2024-01-30,ADD
48,D,2024-04-29,ADD
48,D,2024-07-28,ADD
49,A,2024-01-22,ADD
49,D,2024-04-21,ADD
49,D,2024-07-20,ADD
50,A,2024-01-19,ADD
50,G,2024-03-19,ADD
50,D,2024-05-18,ADD
50,D,2024-07-17,ADD
51,A,2024-01-23,ADD
51,D,2024-04-22,ADD
51,D,2024-07-21,ADD
52,A,2024-01-10,ADD
52,D,2024-04-09,ADD
52,D,2024-07-08,ADD
53,A,2024-01-31,ADD
53,D,2024-04-30,ADD
53,D,2024-07-29,ADD
54,A,2024-01-20,ADD
54,A,2024-03-20,ADD
54,D,2024-05-19,ADD
54,D,2024-07-18,ADD
55,A,2024-01-01,ADD
55,D,2024-03-01,ADD
55,D,2024-04-30,ADD
55,D,2024-06-29,ADD
56,A,2024-01-12,ADD
56,D,2024-04-11,ADD
56,D,2024-07-10,ADD
57,A,2024-01-16,ADD
57,D,2024-04-15,ADD
57,D,2024-07-14,ADD
58,A,2024-01-26,ADD
58,D,2024-04-25,ADD
58,D,2024-07-24,ADD
59,A,2024-01-25,ADD
59,D,2024-04-24,ADD
59,D,2024-07-23,ADD
60,A,2024-01-10,ADD
60,D,2024-04-09,ADD
60,D,2024-07-08,ADD
61,A,2024-01-19,ADD
61,D,2024-04-18,ADD
61,D,2024-07-17,ADD
62,A,2024-01-05,ADD
62,D,2024-04-04,ADD
62,D,2024-07-03,ADD
63,A,2024-01-03,ADD
63,D,2024-04-02,ADD
63,D,2024-07-01,ADD
64,A,2024-01-23,ADD
64,D,2024-04-22,ADD
64,D,2024-07-21,ADD
65,A,2024-01-01,ADD
65,D,2024-03-31,ADD
65,D,2024-06-29,ADD
66,A,2024-01-19,ADD
66,D,2024-03-19,ADD
66,D,2024-05-18,ADD
66,D,2024-07-17,ADD
67,A,2024-01-03,ADD
67,B,2024-03-03,ADD
67,D,2024-05-02,ADD
67,D,2024-07-01,ADD
68,A,2024-01-21,ADD
68,D,2024-04-20,ADD
68,D,2024-07-19,ADD
69,A,2024-01-03,ADD
69,D,2024-04-02,ADD
69,D,2024-07-01,ADD
70,A,2024-01-16,ADD
70,D,2024-04-15,ADD
70,D,2024-07-14,ADD
71,A,2024-01-30,ADD
71,D,2024-04-29,ADD
71,D,2024-07-28,ADD
72,A,2024-01-01,ADD
72,D,2024-03-31,ADD
72,D,2024-06-29,ADD
73,A,2024-01-15,ADD
73,D,2024-04-14,ADD
73,D,2024-07-13,ADD
74,A,2024-01-22,ADD
74,D,2024-04-21,ADD
74,D,2024-07-20,ADD
75,A,2024-01-27,ADD
75,D,2024-03-27,ADD
75,F,2024-05-26,ADD
75,D,2024-07-25,ADD
76,A,2024-01-13,ADD
76,D,2024-04-12,ADD
76,D,2024-07-11,ADD
77,A,2024-01-06,ADD
77,D,2024-04-05,ADD
77,D,2024-07-04,ADD
78,A,2024-01-04,ADD
78,A,2024-03-04,ADD
78,D,2024-05-03,ADD
78,D,2024-07-02,ADD
79,A,2024-01-20,ADD
79,D,2024-03-20,ADD
