id,event,date
1,D,2024-01-10
1,D,2024-03-10
1,G,2024-05-09
1,G,2024-07-08
2,E,2024-01-06
2,D,2024-04-05
2,C,2024-07-04
3,A,2024-01-02
3,B,2024-02-01
3,B,2024-03-02
3,B,2024-04-01
3,C,2024-05-01
3,F,2024-05-31
3,D,2024-06-30
4,D,2024-01-18
4,E,2024-02-23
4,B,2024-03-30
4,C,2024-05-05
4,A,2024-06-10
4,E,2024-07-16
5,B,2024-01-27
5,C,2024-02-18
5,E,2024-03-12
5,C,2024-04-03
5,G,2024-04-26
5,D,2024-05-18
5,E,2024-06-10
5,F,2024-07-02
5,A,2024-07-25
6,B,2024-01-31
6,C,2024-03-31
6,E,2024-05-30
6,F,2024-07-29
7,E,2024-01-03
7,C,2024-04-02
7,F,2024-07-01
8,B,2024-01-27
8,C,2024-03-12
8,G,2024-04-26
8,F,2024-06-10
8,C,2024-07-25
9,B,2024-01-24
9,G,2024-02-29
9,C,2024-04-05
9,F,2024-05-11
9,E,2024-06-16
9,F,2024-07-22
10,C,2024-01-28
10,A,2024-03-04
10,E,2024-04-09
10,C,2024-05-15
10,C,2024-06-20
10,F,2024-07-26
11,E,2024-01-03
11,D,2024-03-03
11,F,2024-05-02
11,B,2024-07-01
12,G,2024-01-13
12,C,2024-02-18
12,D,2024-03-25
12,E,2024-04-30
12,G,2024-06-05
12,F,2024-07-11
13,F,2024-01-06
13,F,2024-04-05
13,F,2024-07-04
14,A,2024-01-22
14,D,2024-04-21
14,F,2024-07-20
15,E,2024-01-21
15,C,2024-02-15
15,D,2024-03-12
15,A,2024-04-07
15,C,2024-05-02
15,A,2024-05-28
15,G,2024-06-23
15,E,2024-07-19
16,F,2024-01-18
16,E,2024-02-17
16,A,2024-03-18
16,A,2024-04-17
16,G,2024-05-17
16,E,2024-06-16
16,D,2024-07-16
17,B,2024-01-04
17,D,2024-02-09
17,E,2024-03-16
17,D,2024-04-21
17,G,2024-05-27
17,D,2024-07-02
18,E,2024-01-20
18,G,2024-03-05
18,F,2024-04-19
18,D,2024-06-03
18,G,2024-07-18
19,D,2024-01-04
19,D,2024-04-03
19,E,2024-07-02
20,A,2024-01-13
20,A,2024-02-02
20,F,2024-02-22
20,E,2024-03-13
20,E,2024-04-02
20,G,2024-04-22
20,A,2024-05-12
20,C,2024-06-01
20,E,2024-06-21
20,E,2024-07-11
21,G,2024-01-07
21,E,2024-02-01
21,G,2024-02-27
21,E,2024-03-24
21,A,2024-04-18
21,F,2024-05-14
21,F,2024-06-09
21,F,2024-07-05
22,G,2024-01-16
22,G,2024-02-07
22,B,2024-03-01
22,D,2024-03-23
22,B,2024-04-15
22,E,2024-05-07
22,A,2024-05-30
22,E,2024-06-21
22,B,2024-07-14
23,F,2024-01-14
23,G,2024-03-14
23,E,2024-05-13
23,B,2024-07-12
24,D,2024-01-24
24,B,2024-02-13
24,C,2024-03-04
24,C,2024-03-24
24,C,2024-04-13
24,G,2024-05-03
24,B,2024-05-23
24,E,2024-06-12
24,D,2024-07-02
24,A,2024-07-22
25,A,2024-01-31
25,A,2024-02-22
25,A,2024-03-16
25,E,2024-04-07
25,E,2024-04-30
25,F,2024-05-22
25,F,2024-06-14
25,B,2024-07-06
25,E,2024-07-29
26,F,2024-01-23
26,A,2024-04-22
26,D,2024-07-21
27,G,2024-01-08
27,F,2024-02-13
27,B,2024-03-20
27,E,2024-04-25
27,E,2024-05-31
27,E,2024-07-06
28,E,2024-01-14
28,C,2024-02-03
28,D,2024-02-23
28,G,2024-03-14
28,D,2024-04-03
28,A,2024-04-23
28,F,2024-05-13
28,D,2024-06-02
28,G,2024-06-22
28,A,2024-07-12
29,D,2024-01-06
29,G,2024-03-06
29,E,2024-05-05
29,G,2024-07-04
30,C,2024-01-03
30,C,2024-02-02
30,G,2024-03-03
30,C,2024-04-02
30,F,2024-05-02
30,D,2024-06-01
30,D,2024-07-01
31,B,2024-01-05
31,D,2024-01-30
31,D,2024-02-25
31,E,2024-03-22
31,B,2024-04-16
31,A,2024-05-12
31,G,2024-06-07
31,B,2024-07-03
32,E,2024-01-21
32,D,2024-02-15
32,F,2024-03-12
32,F,2024-04-07
32,F,2024-05-02
32,G,2024-05-28
32,G,2024-06-23
32,E,2024-07-19
33,C,2024-01-01
33,B,2024-01-23
33,D,2024-02-15
33,F,2024-03-08
33,C,2024-03-31
33,C,2024-04-22
33,F,2024-05-15
33,F,2024-06-06
33,F,2024-06-29
34,F,2024-01-22
34,G,2024-02-16
34,G,2024-03-13
34,E,2024-04-08
34,D,2024-05-03
34,E,2024-05-29
34,C,2024-06-24
34,F,2024-07-20
35,G,2024-01-24
35,G,2024-02-13
35,E,2024-03-04
35,G,2024-03-24
35,G,2024-04-13
35,G,2024-05-03
35,G,2024-05-23
35,F,2024-06-12
35,D,2024-07-02
35,C,2024-07-22
36,F,2024-01-18
36,E,2024-03-03
36,D,2024-04-17
36,B,2024-06-01
36,F,2024-07-16
37,D,2024-01-22
37,E,2024-02-16
37,G,2024-03-13
37,D,2024-04-08
37,C,2024-05-03
37,D,2024-05-29
37,A,2024-06-24
37,A,2024-07-20
38,A,2024-01-08
38,D,2024-01-30
38,C,2024-02-22
38,D,2024-03-15
38,C,2024-04-07
38,F,2024-04-29
38,E,2024-05-22
38,C,2024-06-13
38,D,2024-07-06
39,E,2024-01-31
39,D,2024-02-22
39,C,2024-03-16
39,E,2024-04-07
39,D,2024-04-30
39,E,2024-05-22
39,C,2024-06-14
39,E,2024-07-06
39,C,2024-07-29
40,A,2024-01-05
40,E,2024-02-04
40,G,2024-03-05
40,C,2024-04-04
40,A,2024-05-04
40,A,2024-06-03
40,F,2024-07-03
41,F,2024-01-08
41,C,2024-02-13
41,E,2024-03-20
41,F,2024-04-25
41,G,2024-05-31
41,E,2024-07-06
42,A,2024-01-04
42,C,2024-01-26
42,G,2024-02-18
42,A,2024-03-11
42,D,2024-04-03
42,C,2024-04-25
42,F,2024-05-18
42,D,2024-06-09
42,E,2024-07-02
43,G,2024-01-13
43,F,2024-02-27
43,F,2024-04-12
43,F,2024-05-27
43,E,2024-07-11
44,D,2024-01-23
44,G,2024-02-14
44,G,2024-03-08
44,C,2024-03-30
44,E,2024-04-22
44,A,2024-05-14
44,A,2024-06-06
44,A,2024-06-28
44,C,2024-07-21
45,E,2024-01-16
45,D,2024-02-15
45,C,2024-03-16
45,A,2024-04-15
45,E,2024-05-15
45,A,2024-06-14
45,B,2024-07-14
46,B,2024-01-10
46,D,2024-02-15
46,G,2024-03-22
46,D,2024-04-27
46,D,2024-06-02
46,B,2024-07-08
47,B,2024-01-09
47,E,2024-02-08
47,G,2024-03-09
47,F,2024-04-08
47,F,2024-05-08
47,C,2024-06-07
47,F,2024-07-07
48,G,2024-01-26
48,F,2024-02-15
48,G,2024-03-06
48,E,2024-03-26
48,B,2024-04-15
48,G,2024-05-05
48,D,2024-05-25
48,D,2024-06-14
48,B,2024-07-04
48,F,2024-07-24
49,D,2024-01-09
49,B,2024-02-08
49,C,2024-03-09
49,A,2024-04-08
49,C,2024-05-08
