id,date,event,pattern_base
1,2020-10-12,202,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-12,310,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-12,355,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-12,400,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-12,710,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-12,1127,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-13,145,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-13,164,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-13,520,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-13,521,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-13,523,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-13,740,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-13,741,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-13,931,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-13,982,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-13,1444,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-13,1446,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-13,1498,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-10-14,1115,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-11-11,211,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-12-11,401,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2020-12-11,1128,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2021-01-08,794,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
1,2021-01-08,1132,"202,310,355,400,710,1127,145,164,520,521,523,740,741,931,982,1444,1446,1498,1115,211,401,1128,794,1132"
